iIndex,sQuestion,lEquations
57,An ice skating rink charges 5 dollars for admission and 2.50 dollars to rent skates. Jill can purchase a new pair of skates for 65 dollars. How many times would she need to go the rink to justify buying the skates rather than renting a pair?,x=b/a
58,"Pencils cost 6 dollars per carton and erasers cost 3 dollars per carton. If an order comes in for a total of 100 cartons for 360 dollars , what was the specific number of cartons of pencils?",a*x+b*y=d;1*x+1*y=c
59,Find two numbers whose sum is 106 and whose difference is 64.,1*x+1*y=a;1*x-1*y=b
60,Walt made an extra 9000 dollars last year from a part-time job. He invested part of the money at 9 % and the rest at 8 %. He made a total of 770 dollars in interest. How much was invested at 8 %?,b*x+c*y=d;1*x+1*y=a
61,0.5 of a number is 2 more than 0.25 of the number. Find the number.,x=b/(a-c)
62,"An employment agency specializing in temporary construction help pays heavy equipment operators 140 dollars per day and general laborers 90 dollars per day. If 35 people were hired and the payroll was 3950 dollars , how many heavy equipment operators were employed? How many laborers were employed?",a*x+b*y=d;1*x+1*y=c
63,"Best Rentals charges a daily fee plus a mileage fee for renting its cars. Barney was charged 69 dollars for 3 days and 300 miles , while Mary was charged 123 dollars for 5 days and 600 miles. Find the daily fee and find the mileage charge?",b*x+c*y=a;e*x+f*y=d
64,A chemist has one solution that is 15 % acid and a second that is 25 % acid. How many liters of each should be mixed together to get 100 liters that is 18 % acid?,a*x+b*y=d*e;1*x+1*y=c
65,There are 27 students in an Algebra 1 class. There are 5 fewer girls than boys. How many girls are in the class?,1*x+1*y=a;-1*x+1*y=b
66,"During the 1998-1999 Little League season , the Tigers played 57 games. They lost 21 more games than they won. They did n't tie any. How many games did they win that season?",1*x+1*y=a;-1*x+1*y=b
67,One number exceeds another by 10 and their sum is 34. Find the larger number.,1*x+1*y=a;-1*x+1*y=b
68,A chemistry lab can be used by 38 students at one time. The lab has 16 work-stations.  Some set up for 2 students and the others set up for 3 students. How many work-stations accommodate 2 students?,c*x+d*y=a;1*x+1*y=b
69,"A bricklayer and an electrician together spend 90 hours working on a new house. If the bricklayer earns 12 dollars per hour , the electrician earns 16 dollars an hour , and the owner pays them a total of 1350 dollars for their work , how many hours does the bricklayer work? How many hours does the electrician work?",b*x+c*y=d;1*x+1*y=a
70,"A jazz concert brought in 191,000 dollars with the sale of 7400 tickets. If tickets were sold for 20 dollars and 30 dollars each , how many 20-dollar tickets were sold? How many 30-dollar tickets?",c*x+d*y=a;1*x+1*y=b
71,"The total attendance at a rally was 750 people. Tickets bought before the rally were 2 dollars each , and tickets bought at the door were 2.75 dollars each. How many tickets were bought at the door if the total receipts were 1706.25 dollars? How many tickets were bought before the rally?",b*x+c*y=d;1*x+1*y=a
72,"The school is selling tickets to a performance. They have adult and child tickets. Each adult ticket is 5 dollars and each child ticket is 3 dollars. By the end of the week , there was 178 dollars in sales from 42 tickets sold. How many adult tickets were sold? How many child tickets?",a*x+b*y=c;1*x+1*y=d
73,A farmhouse has 15 animals. Some are goats and some are ducks. Altogether there are 48 legs. How many of each animal are there?,2*x+4*y=b;1*x+1*y=a
74,"An employment agency specializing in temporary help pays heavy operators 129 dollars per day and general laborers 82 dollars per day. If 31 people were hired and the payroll was 3952 dollars , how many heavy operators were employed? How many laborers?",a*x+b*y=d;1*x+1*y=c
75,"A cashier has a total of 126 bills , made up of 5-dollar bills and 10-dollar bills. The total value of the money is 840 dollars. How many 5-dollar bills does he have? How many 10-dollar bills?",b*x+c*y=d;1*x+1*y=a
76,"Peter sold pumpkins from his farm. He sold jumbo pumpkins for 9.00 dollars each , and he sold regular pumpkins for 4.00 dollars each. Peter sold 80 pumpkins and collected 395.00 dollars. How many jumbo pumpkins and regular pumpkins did he sell?",a*x+b*y=d;1*x+1*y=c
77,"A grocer bought 12 bushels of Baldwin and McInotosh apples. Baldwins costs 95 cents a bushel , but McIntosh cost only 90 cents a bushel. If he paid 11.00 dollars for the lot , how many bushels of Baldwins did he get? How many bushels of McIntosh?",b*x+c*y=d;1*x+1*y=a
78,"The sum of two numbers is 40 , one number is 8 more than the other. Find the numbers.",1*x+1*y=a;1*x-1*y=b
79,"The difference between two numbers is 9. Find the numbers , if their sum is 46.",1*x+1*y=b;1*x-1*y=a
80,"On a certain hot summer 's day , 754 people used the public swimming pool. The daily prices are 1.50 dollars for children and 2.25 dollars for adults. The receipts for admission totaled 1422.00 dollars. How many children and adults swam at the public pool that day?",b*x+c*y=d;1*x+1*y=a
81,"Jill has 3.50 dollars in nickels and dimes. If she has 50 coins , how many nickels does she have? How many dimes?",0.05*x+0.1*y=a;1*x+1*y=b
82,"There are 3 more girls than boys in Tom 's class , and the sum of girls and boys is 41. How many boys are in the class? How many girls are in the class?",1*x+1*y=b;1*x-1*y=a
83,"2 automobiles start out from two points 600 kilometers apart and travel toward each other.The automobile from the east travels at 10 kilometers faster than the automobile from the west. If they meet after 5 hours , what is the average speed of each automobile?",d*x+d*y=b;1*x-1*y=c*b
84,A garage owner wants to fill a 55 gallon drum with a 20 percent winter mixture of antifreeze for his customers. How many gallons of 100 percent antifreeze should he mix with some 10 percent antifreeze mixture in order to fill the drum?,c*x+d*y=a*b;1*x+1*y=a
85,A farmer has cows and chickens. He only sees 50 legs and 18 heads. How many are cows and how many are chickens?,4*x+2*y=a;1*x+1*y=b
86,"At a movie theater , tickets cost 9.50 dollars for adults and 6.50 dollars for children. A group of 7 moviegoers pays a total of 54.50 dollars. How many adults and children were in the group?",a*x+b*y=d;1*x+1*y=c
87,There are 24 kids in Mrs Jones ' class. There are twice as many girls as boys. How many boys and girls are there?,1*x-b*y=0;1*x+1*y=a
88,"The Rhapsody Theater sold 800 total tickets. An advanced ticket costs 14.50 dollars and a ticket at the door costs 22.00 dollars. In all , 16,640 dollars was taken in. How many tickets were sold at the door? How many advanced tickets were sold?",b*x+c*y=d;1*x+1*y=a
89,Max bought 16 pounds of nuts at a party. The total cost was 72 dollars. The peanuts cost 3 dollars per pound and the almounds cost 5 dollars per pound. How many pounds of peanuts did max buy? How many pounds of almounds did Max buy?,c*x+d*y=b;1*x+1*y=a
90,The greater of two numbers is 8 times the lesser and their sum is 180. Find the numbers.,1*x-a*y=0;1*x+1*y=b
91,The second number is 3 less than twice the first number. Their sum is 57. Find the second number.,c*x-1*y=b;1*x+1*y=d
92,"For his long distance phone calls , John pays a 5 dollars monthly fee plus 25 cents per minute. Last month , John 's long distance bill was 12.02 dollars. For how many minutes was John billed?",x=(c-a)/b
93,"The Willey Farm Collective , farmed by several branches of the Willeys , has 4500 acres of land available for raising corn and wheat. The cost of raising corn is 42 dollars an acre , while the cost of wheat is 35 dollars an acre. The Collective 's available capital is 165,200 dollars. How many acres of corn should the Collective plant? How many acres of wheat should the collective plant?",b*x+c*y=d;1*x+1*y=a
94,During a sale an automobile dealer sold 69 cars and trucks. If she sold 27 more cars than trucks how many trucks did she sell?,1*x+1*y=a;1*x-1*y=b
95,"For a certain event , 821 tickets were sold , for a total of 1933 dollars. If students paid 2 dollars per ticket and nonstudents paid 3 dollars per ticket , how many student tickets were sold?",c*x+d*y=b;1*x+1*y=a
96,Mrs. Naidu bought 155 dollars in groceries. She paid her bill with 5-dollar notes and 20-dollar notes using a total of 13 notes. How many 5-dollar notes were used? How many 20-dollar notes were used?,b*x+c*y=a;1*x+1*y=d
97,A water flow restrictor has reduced the flow of water to 2 gallons per minute. This amount is 1 gallon per minute less than 0.6 the original flow rate. Find the original rate in gallons per minute.,x=(a+b)/c
98,Find two numbers whose sum is 147 and one is 4 greather than 0.375 of the other.,1*x-c*y=b;1*x+1*y=a
99,There are 13 animals in a barn. Some are chickens and some are pigs. There are 40 legs in the barn. How many are pigs are there and how many chicken are there?,2*x+4*y=b;1*x+1*y=a
100,A car rents for 50 dollars a day plus 20 cents a mile. You are on a daily budget of 88 dollars. What maximum mileage will allow you to stay within your budget?,x=(c-a)/b
101,A vendor sold 200 tickets for an upcoming rock concert. Floor seats were 36 dollars and stadium seats were 28 dollars. The vendor sold 6080 dollars in tickets. How many 36-dollar tickets did the vendor sell? How many 28-dollar tickets did the vendor sell?,b*x+c*y=d;1*x+1*y=a
102,A building with 12 units consists of 1 bedrooms costing 360 dollars and 2 bedrooms costing 450 dollars respectively. When all units are full the total is 4950 dollars. How many 2 bedroom units are there?,b*x+c*y=d;1*x+1*y=a
103,The second of two numbers is 4 more than the first. The sum is 56. Find the first and second numbers.,1*x+1*y=b;-1*x+1*y=a
104,A woman is paid 20 dollars for each day she works and forfeits 5 dollars for each day she is idle. At the end of 25 days she nets 450 dollars. How many days did she work?,a*x-b*y=d;1*x+1*y=c
105,Twice a number equals 25 less than triple the same number. What is the number?,x=a/(c-b)
106,"You are taking a test in which multiple choice questions are worth 9 points and essay questions are worth 12 points. You answer 16 questions correctly , and your score was 162 points. Find how many multiple choice questions you got right. How many essay questions did you get right?",a*x+b*y=d;1*x+1*y=c
107,"Two cars leave the same point , traveling in opposite directions. If one travels at a constant speed of 52 miles per hour and the other travels at a constant speed of 58 miles per hour. In how many hours will they be 385 miles apart?",x=c/(a+b)
108,"Lane invested 22,000 dollars , part at 8 % and part at 7 %. If the total interest at the end of the year is 1,710 dollars , how much did she invest at 8 %?",b*x+c*y=d;1*x+1*y=a
109,High school graduating class is made up of 466 students. There are 212 more girls than boys. How many boys are in the class?,1*x+1*y=a;1*x-1*y=b
110,"The Red Rose Theatre sells tickets for 4.50 dollars and 6.00 dollars. A total of 380 tickets were sold for their last performance of `` Mickey the Mouse ''. If the sales for the performance totaled 1972.50 dollars , how many tickets were sold for 6.00 dollars? How many tickets were sold for 4.50 dollars?",a*x+b*y=d;1*x+1*y=c
111,"The owner of the Most Amazing Circus was counting the money from one day 's ticket sales. He knew that a total of 522 tickets were sold. Adult tickets cost 15 dollars each and children 's tickets cost 8 dollars each. If the total receipts for the day were 5086.00 dollars , how many adult tickets were sold? How many children 's tickets?",b*x+c*y=d;1*x+1*y=a
112,"A freight train and an express train leave towns 390 kilometers apart , traveling toward one another. The freight train travels 30 kilometers per hour slower than the express train. They pass one another 3 hours later. How fast is the freight train , in miles per hour? How fast is the express train?",c*x+c*y=a;-1*x+1*y=b
113,"If your gross pay is 450 dollars , while your net pay is 315 dollars , how much do you pay in taxes? Assume that all tax dollars are not included in net pay.",x=a-b
114,"There are 850 douglas fir and ponderosa pine trees in a section of the forest bought by Sawz logging company. The company paid an average of 300 dollars for each douglas fir and 250 dollars for each ponderosa pine. if the company paid 217,500 dollars for the trees , how many firs and pines did they buy?",b*x+c*y=d;1*x+1*y=a
115,"A plumber contractor decides to field-test two new pumps. One is rated at 180 gallons per hour and the other at 250 gallons per hour. Over a period of 6 hours , she pumps a total of 1325 gallons. How many hours were used by the 180 gallons per hour pump? How many hours were used by the 250 gallons per hour pump?",a*x+b*y=d;1*x+1*y=c
116,The product of 10 and a number is the same as 36 less twice that same number. Find the number.,x=b/(c-a)
117,"A woman invested a total of 9,000 dollars in 2 accounts , one earning 6.5 % annual interest and the other earning 8 % annual interest. After 1 year , her combined interest was 678.87 dollars. How much did she invest in the account paying 8 % interest , in dollars?",c*x+d*y=f;1*x+1*y=a
118,"A peach and a apple cost 70 cents. The peach is more expensive than the apple by 60 cents. What is the cost a peach , in cents? What is the cost of an apple , in cents?",1*x+1*y=a;1*x-1*y=b
119,"In a test of 30 questions , 20 points are given for each correct answer and 5 points are deducted for each one answered incorrectly. If Maria answered all of the questions and got a score of 325 , how many did she get correct?",b*x-c*y=d;1*x+1*y=a
120,A piggy bank has 50 coins. The coins are either nickels or dimes. The bank has 4.55 dollars in total. How many coins are nickels? How many are dimes?,0.05*x+0.1*y=b;1*x+1*y=a
121,"If 120 lollipops cost 90 dollars , how much does 1 lollipop cost , in dollars?",x=b/a
122,How many liters of 5 % saline solution and 25 % saline solution must be mixed together to get 10 liters of 18 % saline solution?,a*x+b*y=d*c;1*x+1*y=c
123,Your teacher is giving a test worth 200 points. There is a total of 30 5-point and 10-point questions. How many 5-point questions are on the test?,c*x+d*y=a;1*x+1*y=b
124,"The taxi charges in a city consist of a fixed charge together with the charge for the distance covered. For a distance of 10 km, the charge paid is Rs 105 and for a journey of 15 km, the charge paid is Rs 155. What are the fixed charges and the charge per km? How much does a person have to pay for travelling a distance of 25 km?",1*x+a*y=b;1*x+c*y=d
125,"The ratio of incomes of two persons is 9 : 7 and the ratio of their expenditures is 4 : 3. If each of them manages to save Rs 2000 per month, find their monthly incomes.",a*x-b*y=e;c*x-d*y=e
126,"Five years ago, Nuri was thrice as old as Sonu. Ten years later, Nuri will be twice as old as Sonu. How old are Nuri and Sonu?",1*x-b*y=a-b*a;1*x-d*y=c*d-c
127,"The sum of the digits of a two-digit number is 9. Also, nine times this number is twice the number obtained by reversing the order of the digits. Find the number.",(b-10*c)*x+(10*b-c)*y=0;1*x+1*y=a
128,Meena went to a bank to withdraw Rs 2000. She asked the cashier to give her Rs 50 and Rs 100 notes only. Meena got 25 notes in all. Find how many notes of Rs 50 and Rs 100 she received.,b*x+c*y=a;1*x+1*y=d
129,"From a bus stand in Bangalore , if we buy 2 tickets to Malleswaram and 3 tickets to Yeshwanthpur, the total cost is Rs 46; but if we buy 3 tickets to Malleswaram and 5 tickets to Yeshwanthpur the total cost is Rs 74. Find the fares from the bus stand to Malleswaram, and to Yeshwanthpur.",a*x+b*y=c;d*x+e*y=f
130,"A part of monthly hostel charges is fixed and the remaining depends on the number of days one has taken food in the mess. When a student A takes food for 20 days she has to pay Rs 1000 as hostel charges whereas a student B, who takes food for 26 days, pays Rs 1180 as hostel charges. Find the fixed charges and the cost of food per day.",1*x+a*y=b;1*x+c*y=d
131,"A lending library has a fixed charge for the first three days and an additional charge for each day thereafter. Saritha paid Rs. 27 for a book kept for seven days, while Susy paid Rs. 21 for the book she kept for five days. Find the fixed charge and the charge for each extra day.",1*x+4*y=a;1*x+2*y=b
132,"A shop sells bicycles and tricycles. In total there are 7 cycles (cycles include both bicycles and tricycles) and 19 wheels. Determine how many of each there are, if a bicycle has two wheels and a tricycle has three wheels.",c*x+d*y=b;1*x+1*y=a
133,Bongani and Jane are friends. Bongani takes Jane physics test paper and will not tell her what her mark is. He knows that Jane hates maths so he decides to tease her. Bongani says: I have 2 marks more than you do and the sum of both our marks is equal to 14. What are our marks?,1*x+1*y=b;1*x-1*y=a
134,"A fruit shake costs R 2,00 more than a chocolate milk shake. If 3 fruit shakes and 5 chocolate milk shakes cost R 78,00, determine the individual prices.",b*x+c*y=d;1*x-1*y=a
135,"Two jets are flying towards each other from airports that are 1 200 km apart. One jet is flying at 250 km/h and the other jet at 350 km/h. If they took off at the same time, how long will it take for the jets to pass each other?",1*x+0*y=c*a/(b+c);-1*x+c*y=0
136,Kadesh bought 20 shirts at a total cost of R 980. If the large shirts cost R 50 and the small shirts cost R 40. How many of each size did he buy?,x=(b-(d*a))/(c-d)
137,The sum of 27 and 12 is equal to 73 more than an unknown number. Find the unknown number.,x=a+b-c
138,The two smaller angles in a right-angled triangle are in the ratio of 1 : 2. What are the sizes of the two angles?,x=(180-90)/(b+c)
139,"The sum of the digits of a two-digit number is 9. Also, nine times this number is twice the number obtained by reversing the order of the digits. Find the number.",(b-10*c)*x+(10*b-c)*y=0;1*x+1*y=a
140,The length of a rectangle is 2 cm more than the width of the rectangle. The perimeter of the rectangle is 20 cm. Find the length and the width of the rectangle.,1*x+0*y=(b+2*a)/2;1*x-1*y=a
141,The sum of two consecutive odd numbers is 20 and their difference is 2. Find the two numbers.,1*x+1*y=b;1*x-1*y=c
142,"Masindi is 21 years older than her daughter, Mulivhu. The sum of their ages is 37. How old is Mulivhu?",x=(b-a)/2
143,"Tshamano is now five times as old as his son Murunwa. Seven years from now, Tshamano will be three times as old as his son. Find their ages now.",1*x+0*y=(c*b-b)/(a-c);-a*x+1*y=0
144,"Mr. Tsilatsila builds a fence around his rectangular vegetable garden of 8 m. If the length is twice the breadth, determine the dimensions of Mr. Tsilatsila vegetable garden.",1*x-b*y=0;2*x+2*y=a
145,"Mohato and Lindiwe both have colds. Mohato sneezes twice for each sneeze of Lindiwe. If Lindiwe sneezes 5 times, write an equation describing how many times they both sneezed.",0*x+1*y=b;1*x-a*y=0
146,The difference of two numbers is 10 and the sum of their squares is 50. Find the two numbers.,1*x+1*y=c;1*x-1*y=b
147,"It rains twics as much in July as it does in December. If it rains 6 mm in December, write an expression relating the rainfall in July and December.",0*x+1*y=b;1*x-a*y=0
148,"25 years ago, Arthur was 5 years more than a third of Bongani age. Today, Bongani is 26 years less than twice Arthur age. How old is Bongani?",1*x-c*y=(b-c*a)+a;2*x+1*y=d
149,"The annual gym subscription for a single member is Rs. 1000, while an annual family membership is Rs. 1500. The gym is considering increasing all membership fees by the same amount. If this is done then a single membership would cost 5/7 of a family membership. Determine the amount of the proposed increase",x=(c*b-a)/(1-c)
